m	n	g	us	path	stddev_pct
128	131072	8	34.90	decode	0.00
128	131072	16	40.00	decode	0.09
128	131072	32	53.00	decode	0.20
128	131072	64	79.70	decode	0.10
256	131072	1	64.10	prefill	0.04
256	131072	2	50.60	decode	0.06
256	131072	4	52.00	decode	0.03
256	131072	8	46.90	decode	0.06
256	131072	16	52.90	decode	0.05
256	131072	32	70.60	decode	0.09
256	131072	64	111.70	decode	0.21
512	131072	1	88.80	prefill	0.03
512	131072	2	72.80	prefill	0.09
512	131072	4	83.30	prefill	0.05
512	131072	8	76.10	prefill	0.20
512	131072	16	88.00	prefill	0.06
512	131072	32	114.80	prefill	0.06
512	131072	64	181.10	prefill	0.17
1024	131072	1	159.80	prefill	0.11
1024	131072	2	153.30	prefill	0.08
1024	131072	4	161.00	prefill	0.11
1024	131072	8	153.80	prefill	0.14
1024	131072	16	171.60	prefill	0.11
1024	131072	32	212.60	prefill	0.05
1024	131072	64	322.70	prefill	0.10
2048	131072	1	279.70	prefill	0.10
2048	131072	2	274.10	prefill	0.09
2048	131072	4	280.90	prefill	0.14
2048	131072	8	271.70	prefill	0.18
2048	131072	16	309.20	prefill	0.11
2048	131072	32	395.60	prefill	0.08
2048	131072	64	601.10	prefill	0.12
4096	131072	1	609.80	prefill	0.04
4096	131072	2	582.10	prefill	0.05
4096	131072	4	591.40	prefill	0.05
4096	131072	8	581.00	prefill	0.08
4096	131072	16	644.10	prefill	0.07
4096	131072	32	778.90	prefill	0.06
4096	131072	64	1142.50	prefill	0.05
1	196608	1	62.30	prefill	0.05
1	196608	2	45.40	decode	0.05
1	196608	4	34.50	decode	0.05
1	196608	8	28.50	decode	0.10
1	196608	16	25.80	decode	0.09
1	196608	32	24.70	decode	0.11
1	196608	64	24.40	decode	0.07
2	196608	1	63.70	prefill	0.06
2	196608	2	45.30	decode	0.06
2	196608	4	34.90	decode	0.07
2	196608	8	28.90	decode	0.08
2	196608	16	26.40	decode	0.15
2	196608	32	25.20	decode	0.13
2	196608	64	25.40	decode	0.16
4	196608	1	63.80	prefill	0.06
4	196608	2	46.30	decode	0.04
4	196608	4	35.10	decode	0.10
4	196608	8	29.00	decode	0.14
4	196608	16	26.70	decode	0.20
4	196608	32	26.10	decode	0.26
4	196608	64	27.20	decode	0.31
8	196608	1	64.30	prefill	0.10
8	196608	2	46.70	decode	0.04
8	196608	4	35.60	decode	0.08
8	196608	8	29.20	decode	0.06
8	196608	16	27.50	decode	0.06
8	196608	32	28.00	decode	0.23
8	196608	64	30.20	decode	0.22
16	196608	1	64.50	prefill	0.06
16	196608	2	47.30	decode	0.10
16	196608	4	37.80	decode	0.11
16	196608	8	30.30	decode	0.16
16	196608	16	29.50	decode	0.19
16	196608	32	31.00	decode	0.12
16	196608	64	36.40	decode	0.06
32	196608	1	65.00	prefill	0.06
32	196608	2	52.30	decode	0.06
32	196608	4	41.30	decode	0.14
32	196608	8	30.90	decode	0.07
32	196608	16	31.50	decode	0.17
32	196608	32	35.80	decode	0.07
32	196608	64	48.20	decode	0.10
64	196608	1	81.00	prefill	0.04
64	196608	2	55.40	decode	0.04
64	196608	4	45.30	decode	0.04
64	196608	8	35.10	decode	0.11
64	196608	16	36.30	decode	0.08
64	196608	32	44.80	decode	0.13
64	196608	64	62.90	decode	0.07
128	196608	1	82.00	prefill	0.04
128	196608	2	56.40	decode	0.05
128	196608	4	48.40	decode	0.05
128	196608	8	40.80	decode	0.06
128	196608	16	45.60	decode	0.04
128	196608	32	56.20	decode	0.12
128	196608	64	84.20	decode	0.09
256	196608	1	84.00	prefill	0.05
256	196608	2	61.30	decode	0.00
256	196608	4	59.90	decode	0.04
256	196608	8	56.90	decode	0.06
